Fiscal Year,Fiscal Quarter,Fiscal Period,FSLine Statement L1,FSLine Statement L2,Product,Country,Currency,Amount in Local Currency,Amount in USD,Version
2020,Q1,2020-01,Cost of Goods Sold,Direct Labor,Product A,Australia,AUD,19182.39,13427.67,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Direct Materials,Product A,Australia,AUD,65073.09,45551.16,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Manufacturing Overhead,Product A,Australia,AUD,15934.3,11154.01,Actuals
2020,Q1,2020-01,Net Revenue,Gross Revenue,Product A,Australia,AUD,213437.77,149406.44,Actuals
2020,Q1,2020-01,Net Revenue,Returns and Refunds,Product A,Australia,AUD,-8080.32,-5656.22,Actuals
2020,Q1,2020-01,Net Revenue,Revenue Adjustment,Product A,Australia,AUD,1516.65,1061.65,Actuals
2020,Q1,2020-01,OPEX,General & Administrative,Product A,Australia,AUD,12677.64,8874.35,Actuals
2020,Q1,2020-01,OPEX,Headcount Expenses,Product A,Australia,AUD,66292.29,46404.6,Actuals
2020,Q1,2020-01,OPEX,IT Expenses,Product A,Australia,AUD,12133.16,8493.21,Actuals
2020,Q1,2020-01,OPEX,Marketing Expenses,Product A,Australia,AUD,21457.59,15020.31,Actuals
2020,Q1,2020-01,OPEX,R&D Expenses,Product A,Australia,AUD,22179.8,15525.86,Actuals
2020,Q1,2020-01,OPEX,Sales Expenses,Product A,Australia,AUD,19794.87,13856.41,Actuals
2020,Q1,2020-01,Other Income/Expenses,Foreign Exchange Gain/Loss,Product A,Australia,AUD,-134.93,-94.45,Actuals
2020,Q1,2020-01,Other Income/Expenses,Interest Expense,Product A,Australia,AUD,2507.42,1755.19,Actuals
2020,Q1,2020-01,Other Income/Expenses,Interest Income,Product A,Australia,AUD,2234.68,1564.28,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Direct Labor,Product B,Australia,AUD,19687.98,13781.58,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Direct Materials,Product B,Australia,AUD,38148.3,26703.81,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Manufacturing Overhead,Product B,Australia,AUD,16715.82,11701.08,Actuals
2020,Q1,2020-01,Net Revenue,Gross Revenue,Product B,Australia,AUD,239888.58,167922.01,Actuals
2020,Q1,2020-01,Net Revenue,Returns and Refunds,Product B,Australia,AUD,-4173.7,-2921.59,Actuals
2020,Q1,2020-01,Net Revenue,Revenue Adjustment,Product B,Australia,AUD,-787.71,-551.4,Actuals
2020,Q1,2020-01,OPEX,General & Administrative,Product B,Australia,AUD,19280.95,13496.66,Actuals
2020,Q1,2020-01,OPEX,Headcount Expenses,Product B,Australia,AUD,63811.01,44667.7,Actuals
2020,Q1,2020-01,OPEX,IT Expenses,Product B,Australia,AUD,8752.48,6126.74,Actuals
2020,Q1,2020-01,OPEX,Marketing Expenses,Product B,Australia,AUD,17719.46,12403.62,Actuals
2020,Q1,2020-01,OPEX,R&D Expenses,Product B,Australia,AUD,17082.73,11957.91,Actuals
2020,Q1,2020-01,OPEX,Sales Expenses,Product B,Australia,AUD,19070.75,13349.52,Actuals
2020,Q1,2020-01,Other Income/Expenses,Foreign Exchange Gain/Loss,Product B,Australia,AUD,-2662.75,-1863.92,Actuals
2020,Q1,2020-01,Other Income/Expenses,Interest Expense,Product B,Australia,AUD,1987.92,1391.54,Actuals
2020,Q1,2020-01,Other Income/Expenses,Interest Income,Product B,Australia,AUD,2137.89,1496.52,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Direct Labor,Product C,Australia,AUD,16567.49,11597.24,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Direct Materials,Product C,Australia,AUD,40265.77,28186.04,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Manufacturing Overhead,Product C,Australia,AUD,10657.38,7460.17,Actuals
2020,Q1,2020-01,Net Revenue,Gross Revenue,Product C,Australia,AUD,154369.16,108058.41,Actuals
2020,Q1,2020-01,Net Revenue,Returns and Refunds,Product C,Australia,AUD,-7052.69,-4936.88,Actuals
2020,Q1,2020-01,Net Revenue,Revenue Adjustment,Product C,Australia,AUD,1253.56,877.49,Actuals
2020,Q1,2020-01,OPEX,General & Administrative,Product C,Australia,AUD,8193.4,5735.38,Actuals
2020,Q1,2020-01,OPEX,Headcount Expenses,Product C,Australia,AUD,52633.16,36843.21,Actuals
2020,Q1,2020-01,OPEX,IT Expenses,Product C,Australia,AUD,4918.39,3442.87,Actuals
2020,Q1,2020-01,OPEX,Marketing Expenses,Product C,Australia,AUD,18707.13,13094.99,Actuals
2020,Q1,2020-01,OPEX,R&D Expenses,Product C,Australia,AUD,19861.31,13902.92,Actuals
2020,Q1,2020-01,OPEX,Sales Expenses,Product C,Australia,AUD,14438.57,10107.0,Actuals
2020,Q1,2020-01,Other Income/Expenses,Foreign Exchange Gain/Loss,Product C,Australia,AUD,-1521.04,-1064.73,Actuals
2020,Q1,2020-01,Other Income/Expenses,Interest Expense,Product C,Australia,AUD,2734.17,1913.92,Actuals
2020,Q1,2020-01,Other Income/Expenses,Interest Income,Product C,Australia,AUD,660.28,462.2,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Direct Labor,Product D,Australia,AUD,12287.8,8601.46,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Direct Materials,Product D,Australia,AUD,35724.55,25007.18,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Manufacturing Overhead,Product D,Australia,AUD,9247.54,6473.28,Actuals
2020,Q1,2020-01,Net Revenue,Gross Revenue,Product D,Australia,AUD,127954.16,89567.91,Actuals
2020,Q1,2020-01,Net Revenue,Returns and Refunds,Product D,Australia,AUD,-5212.61,-3648.82,Actuals
2020,Q1,2020-01,Net Revenue,Revenue Adjustment,Product D,Australia,AUD,1005.95,704.16,Actuals
